Designator,Mid X,Mid Y,Rotation,Layer
D1_12,73.5,-49.0,0.0,top
D1_11,73.5,-2.0,0.0,top
D1_10,43.25,-25.5,0.0,top
D1_9,73.5,-25.5,0.0,top
D1_8,13.0,-2.0,0.0,top
D1_7,43.25,-49.0,0.0,top
D1_6,43.25,-2.0,0.0,top
D1_5,73.5,-72.5,0.0,top
D1_4,13.0,-72.5,0.0,top
D1_3,13.0,-49.0,0.0,top
D1_2,43.25,-72.5,0.0,top
D1,13.0,-25.5,0.0,top
J1_12,6.055,-2.0,270.0,top
J1_11,36.305,-49.0,270.0,top
J1_10,66.555,-2.0,270.0,top
J1_9,6.055,-49.0,270.0,top
J1_8,36.305,-72.5,270.0,top
J1_7,36.305,-2.0,270.0,top
J1_6,6.055,-72.5,270.0,top
J1_5,66.555,-72.5,270.0,top
J1_4,6.055,-25.5,270.0,top
J1_3,66.555,-25.5,270.0,top
J1_2,36.305,-25.5,270.0,top
J1,66.555,-49.0,270.0,top
R1_12,16.5,-25.5,0.0,top
R1_11,77.0,-25.5,0.0,top
R1_10,46.75,-49.0,0.0,top
R1_9,16.5,-2.0,0.0,top
R1_8,46.75,-25.5,0.0,top
R1_7,77.0,-2.0,0.0,top
R1_6,77.0,-72.5,0.0,top
R1_5,16.5,-72.5,0.0,top
R1_4,46.75,-72.5,0.0,top
R1_3,77.0,-49.0,0.0,top
R1_2,46.75,-2.0,0.0,top
R1,16.5,-49.0,0.0,top
U1_12,87.585786,-57.085786,270.0,top
U1_11,27.085786,-10.085786,270.0,top
U1_10,87.585786,-33.585786,270.0,top
U1_9,57.335786,-10.085786,270.0,top
U1_8,27.085786,-33.585786,270.0,top
U1_7,87.585786,-10.085786,270.0,top
U1_6,57.335786,-57.085786,270.0,top
U1_5,87.585786,-80.585786,270.0,top
U1_4,27.085786,-80.585786,270.0,top
U1_3,57.335786,-80.585786,270.0,top
U1_2,27.085786,-57.085786,270.0,top
U1,57.335786,-33.585786,270.0,top
